Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Kaus Media,δ Sagittarii,https://en.wikipedia.org/wiki/Kaus_Media,Sagittarius,18h 20m 59.64354s,−29° 49′ 41.1659″,+2.70,K3 III,,,,,RA: +32.54 mas/yr Dec.: −25.57 mas/yr,9.38 ± 0.18 mas,348 ± 7 ly (107 ± 2 pc),−1.99,3.21 M☉,16 R☉,"1,660 L☉",0.30 cgs,"4,203±69 K",−0.32 dex,260 Myr,Delta Sagittarii,+1.55,+1.38,,–19.9 km/s,3.6 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaveh,HD 175541,https://en.wikipedia.org/wiki/HD_175541,Serpens,18h 55m 40.8840s,+04° 15′ 55.1623″,8.02,G6/8IV,,,,,RA: −6.744±0.099 mas/yr Dec.: −90.226±0.084 mas/yr,7.6877 ± 0.0595 mas,424 ± 3 ly (130 ± 1 pc),2.54,1.45±0.03 M☉,4.07±0.05 R☉,10.0±0.1 L☉,3.37±0.02 cgs,"5,093±23 K",−0.13±0.03 dex,2.9±0.2 Gyr,data,0.56,0.869±0.024,,19.81±0.20 km/s,0.47±0.23 km/s,,,,,,,,,,,,0.33,,,,,,,,,,,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keid,ο2 Eridani A,https://en.wikipedia.org/wiki/Keid,Eridanus,04h 15m 21.53600s,−07° 39′ 20.6946″,11.17,M4.5eV,,,,,"RA: −2,247.183 mas/yr Dec.: −3,409.824 mas/yr",199.4516 ± 0.0692 mas,16.353 ± 0.006 ly (5.014 ± 0.002 pc),5.93,0.2036±0.0064 M☉,0.31 R☉,0.008 L☉,4.45±0.19 cgs,"3,100 K",−0.42±0.04 dex,5.6 Gyr1.8 Gyr,A,+0.83,+1.67,Flare star,−44.06±0.20 km/s,1.23 ± 0.28 km/s,,230.30±0.68 yr,"6.930±0.050""(~35 AU)",0.4294±0.0027,107.56±0.29°,151.44±0.12°,1847.7±1.1,318.4±1.1°,40 Eridani C,40 Eridani B,,,,,,,,,,,,~37–43 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khambalia,λ Virginis A,https://en.wikipedia.org/wiki/Khambalia,Virgo,14h 19m 06.59235s,−13° 22′ 15.9459″,+4.52 (5.00 + 5.63),A1 V (A1V + A1V),,,,,RA: −15.91 mas/yr Dec.: +28.92 mas/yr,18.81 ± 0.10 mas,173.4 ± 0.9 ly (53.2 ± 0.3 pc),+0.73,1.721 M☉,1.84 R☉,12.58±0.16 L☉,4.14 cgs,"8,280±200 K",0.0097 dex,935 Myr,data,+0.12,+0.12,,−10.9 km/s,10±2 km/s,,206.7321±0.0040 d,19.759±0.079 mas,0.0610±0.0036,109.86±0.24°,196.40±0.22°,"53,070.30±0.32",272.28±0.46°,,,24.78±0.17 km/s,,,,,,,,,,,,,,,,,27.308±0.067 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Kitalpha,α Equulei A,https://en.wikipedia.org/wiki/Kitalpha,Equuleus,21h 15m 49.43192s,+05° 14′ 52.2430″,+3.919,G7III + kA3hA4mA9,,,,,RA: +59.88 ± 0.23 mas/yr Dec.: −94.09 ± 0.18 mas/yr,17.14 ± 0.21 mas,190 ± 2 ly (58.3 ± 0.7 pc),+0.17 (0.71 + 1.18),2.0 M☉,2.6 R☉,26.3 L☉,,8.150 K,,740 Myr,data,+0.284,+0.529,,−15.71 ± 0.05 km/s,20.0 km/s,,98.8098 days,,0,,,,,,,16.34 ± 0.07 km/s,,,,,,,,,,,,,,,,,17.9 ± 0.3 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Kochab,β Ursae Minoris,https://en.wikipedia.org/wiki/Kochab,Ursa Minor,14h 50m 42.32580s,+74° 09′ 19.8142″,2.08,K4 III,,,,,RA: −32.61 mas/yr Dec.: +11.42 mas/yr,24.91 ± 0.12 mas,130.9 ± 0.6 ly (40.1 ± 0.2 pc),−0.83±0.010,2.2 ± 0.3 M☉,42.06 ± 0.91 R☉,390 ± 25 L☉,1.83 cgs,"4,030 K",–0.29 dex,,Beta Ursae Minoris,+1.78,+1.47,,+16.96 km/s,8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koeia,HIP 12961,https://en.wikipedia.org/wiki/HIP_12961,Eridanus,02h 46m 42.89s,−23° 05′ 11.80″,10.24,K5V or M0,,7.56,6.93,6.74,RA: 294.923 mas/yr Dec.: 140.972 mas/yr,42.7591 ± 0.0335 mas,76.28 ± 0.06 ly (23.39 ± 0.02 pc),8.50±0.09,0.64 M☉0.65±0.07 M☉,0.63 R☉0.61±0.04 R☉,0.095±0.018 L☉,4.65±0.09 cgs,"3,901±175 K4,092±93 K",+0.10±0.06 dex−0.14 dex0.01±0.17 dex,,data,,1.6,,+32.865±0.001 km/s,1.5 km/s,,,,,,,,,,,,,,,,data,,,,,,,,data,,,,,,11.20,,,,,,,,,,,,,,,,,,,,,,
Koit,XO-4,https://en.wikipedia.org/wiki/XO-4,Lynx,07h 21m 33.1602s,+58° 16′ 05.112″,10.674 ± 0.019,F5V,,9.667 ± 0.021,9.476 ± 0.022,9.406 ± 0.023,RA: −16.989±0.056 mas/yr Dec.: 5.310±0.050 mas/yr,3.6392 ± 0.0385 mas,896 ± 9 ly (275 ± 3 pc),,1.32 ± 0.02 M☉,1.56 ± 0.05 R☉,,,6397 ± 70 K,-0.04 ± 0.03 dex,2.1 ± 0.6 Gyr,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.240 ± 0.029,,,,,,,,,,,,,,,,,,,,,,
"Komondor
","HAT-P-12
",https://en.wikipedia.org/wiki/Komondor_(star),Canes Venatici,13h 57m 33.4669s,+43° 29′ 36.602″,12.84,K5,,10.794 ±0.023,10.236 ±0.022,10.108 ±0.016,RA: −134.793(8) mas/yr Dec.: −44.229(11) mas/yr,7.0448 ± 0.0105 mas,463.0 ± 0.7 ly (141.9 ± 0.2 pc),12.35 ± 0.23,0.719±0.016 M☉,0.7084±0.0095 R☉,0.21+0.02−0.01 L☉,4.594±0.013 cgs,4710±49 K,−0.24+0.055−0.062 dex,2.5 ± 2.0 Gyr,data,,,planetary transit,−40.4589±0.0023 km/s,,,,,,,,,,,,,,,,,data,,,,,,0.5 ± 0.4 kms−1,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kornephoros,β Herculis Aa,https://en.wikipedia.org/wiki/Kornephoros,Hercules,16h 30m 13.19955s,+21° 29′ 22.6008″,2.81,G7 IIIa,,,,,RA: −99.15 mas/yr Dec.: −15.39 mas/yr,23.44 ± 0.58 mas,139 ± 3 ly (43 ± 1 pc),−0.49 ± 0.10,0.9 M☉,17 R☉,151 L☉,2.5 cgs,"4,887 K",–0.27 dex,,data,+0.70,+0.91,,−25.5 km/s,3.0 km/s,,410.6 d,11.37 ± 0.51 mas,0.55,53.8 ± 2.3°,341.9 ± 3.8°,15500.4 MJD,,,,,+0.47,,,,,,,,,,,,,,,24.6°,,,,,,,,,,,,,,,,,,,,,,,,,
"Kosjenka
","WASP-63
",https://en.wikipedia.org/wiki/Kosjenka,Columba,06h 17m 20.7485s,−38° 19′ 23.754″,11.10±0.08,G8,,,,,RA: −17.469 mas/yr Dec.: −27.292 mas/yr,3.4609 ± 0.0118 mas,942 ± 3 ly (288.9 ± 1.0 pc),,1.10+0.06−0.04 M☉,1.76+0.11−0.08 R☉,2.76 L☉,4.01±0.03 cgs,5715±60 K,0.08±0.07 dex0.28±0.05 dex,8.3+1.3−1.2 Gyr,data,,0.741±0.022,,−23.55±0.25 km/s,2.8±0.5 km/s,,,,,,,,,,,,,,subgiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425±0.032,,,,
Kraz,β Corvi,https://en.wikipedia.org/wiki/Kraz_(star),Corvus,12h 34m 23.23484s,−23° 23′ 48.3374″,2.647,G5 II,,,,,RA: +1.11 mas/yr Dec.: −56.56 mas/yr,22.39 ± 0.18 mas,146 ± 1 ly (44.7 ± 0.4 pc),–0.61,3.7±0.1 M☉,16 R☉,164 L☉,2.52±0.03 cgs,"5,100±80 K",–0.01 dex,206 Myr,data,+0.586,+0.898,,−7.6 km/s,8 km/s,,,,,,,,,,,,+0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuma†,ν Draconis,https://en.wikipedia.org/wiki/%CE%9D_Draconis,Draco,17h 32m 16.02464s,+55° 10′ 22.6504″,+4.88,A4IVm (kA3hF1mF0),,,,,RA: +142.65 mas/yr Dec.: +62.43 mas/yr,32.80 ± 0.18 mas,99.4 ± 0.5 ly (30.5 ± 0.2 pc),,1.61 + 0.24 M☉,1.812 R☉,,4.11 cgs,"7,272 K",,13.0 Myr,ν Dra,+0.04,+0.27,,–16.0 km/s,68 km/s,,38.034 days,,0.03,,,,,ν2 Dra B,ν2 Dra A,10.0 km/s,,+0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurhah,ξ Cephei Aa,https://en.wikipedia.org/wiki/Kurhah,Cepheus,22h 03m 47.455s,+64° 37′ 40.71″,4.2 (4.45 + 4.60),F8V,,,,,RA: 215.46±1.14 mas/yr Dec.: 91.06±0.97 mas/yr,38.10 ± 2.81 mas,86 ± 6 ly (26 ± 2 pc),+1.79,0.408±0.066 M☉,,,,,,,ξ,,,,,,,810.9 d,,0.46,,,2438529.8 JD,106°,,,7.1 km/s,,,,,,,,,,,,,,,,,19.9 km/s,,,,,,,,,,,,,,,,,,,,,,,,
La Superba,Y Canum Venaticorum,https://en.wikipedia.org/wiki/La_Superba,Canes Venatici,12h 45m 07.826s,+45° 26′ 24.93″,+4.86 to +7.32,C54J(N3),,,,,RA: −2.968 mas/yr Dec.: 13.063 mas/yr,3.2222 ± 0.1744 mas,"1,010 ± 50 ly (310 ± 20 pc)",−1.203,1.2 M☉,422 R☉,"9,400 L☉",+0.23 cgs,"2,600 - 3,200 K",−0.21 dex,,data,6.62,2.54,SRb,15.30 km/s,,,,,,,,,,,,,1.38,,Asymptotic giant branch,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larawag,ε Scorpii,https://en.wikipedia.org/wiki/Larawag,Scorpius,16h 50m 09.8s,–34° 17′ 36″,+2.310 (2.24 - 2.35)),K1 III,,,,,RA: –614.85 mas/yr Dec.: –255.98 mas/yr,51.19 ± 0.22 mas,63.7 ± 0.3 ly (19.54 ± 0.08 pc),0.78 ± 0.04,1.24 M☉,12.6 R☉,,2.49 cgs,"4,560 K",–0.17 dex,,data,+1.147,+1.150,suspected,–2.5 km/s,2.6 ± 0.5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesath,υ Scorpii,https://en.wikipedia.org/wiki/Lesath,Scorpius,17h 30m 45.83712s,–37° 17′ 44.9285″,2.70,B2 IV,,,,,RA: –2.37 mas/yr Dec.: 30.09 mas/yr,5.66 ± 0.18 mas,580 ± 20 ly (177 ± 6 pc),−3.53,11.4 ± 0.5 M☉,6.1 R☉,7381 L☉,,"22,831 ± 169 K",,20.0 ± 2.6 Myr,data,–0.854,–0.221,,+8.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libertas,ξ Aquilae A,https://en.wikipedia.org/wiki/Libertas_(star),Aquila,19h 54m 14.88184s,+08° 27′ 41.2299″,4.722,G9.5 IIIb,,,,,RA: +101.91 mas/yr Dec.: −81.20 mas/yr,17.77 ± 0.29 mas,184 ± 3 ly (56.3 ± 0.9 pc),+0.96,1.16 ± 0.28 M☉,10.45 ± 0.18 R☉,49 L☉,2.66 cgs,"4,783 K",−0.13 dex,4.63 ± 2.88 Gyr,data,+0.89,+1.049,,−42.10 ± 0.14 km/s,5.2 km/s,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lich,PSR B1257+12,https://en.wikipedia.org/wiki/Lich_(star),Virgo,13h 00m 01s,+12° 40′ 57″,,Pulsar,,,,,RA: 46.44±0.08 mas/yr Dec.: −84.87±0.32 mas/yr,1.41 ± 0.08 mas,"2,300 ± 100 ly (710 ± 40 pc)",,1.4 M☉,~0.000015 R☉,,,"28,856 K",,1–3 Gyr,data,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006219 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liesma,HD 118203,https://en.wikipedia.org/wiki/HD_118203,Ursa Major,13h 34m 02.5394s,+53° 43′ 42.6984″,8.06,K0IV,,,,,RA: −85.877±0.052 mas/yr Dec.: −78.913±0.038 mas/yr,10.8102 ± 0.0275 mas,301.7 ± 0.8 ly (92.5 ± 0.2 pc),3.32,1.23±0.03 M☉,2.00±0.10 R☉,3.80±0.30 L☉,3.93±0.02 cgs,"5,741±35 K",0.16 dex,5.4±0.5 Gyr,The star,,0.699±0.012,,−29.07±0.24 km/s,7.0 km/s,,,,,,,,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilii Borea,39 Arietis,https://en.wikipedia.org/wiki/Lilii_Borea,Aries,02h 47m 54.54142s,+29° 14′ 49.6132″,4.514,K1.5 III,,,,,RA: +149.47 ± 0.25  mas/yr Dec.: –127.05 ± 0.18  mas/yr,19.01 ± 0.21 mas,172 ± 2 ly (52.6 ± 0.6 pc),,1.6 M☉,11.1 ± 0.8 R☉,56 L☉,2.7 cgs,"4,603 K",–0.02 dex,,data,+1.083,+1.118,,–15.53 ± 0.14 km/s,4.5 km/s,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionrock,HD 212771,https://en.wikipedia.org/wiki/HD_212771,Aquarius,22h 27m 03.072s,−17° 15′ 49.164″,7.6±0.01,G8 IV,,,,,RA: −85.892 mas/yr Dec.: −104.042 mas/yr,8.9648 ± 0.0314 mas,364 ± 1 ly (111.5 ± 0.4 pc),2.04,1.56 M☉,5.27 R☉,11.55±0.08 L☉,3.31 cgs,"5,003 K",−0.09±0.01 dex,1.676±0.287 Gyr,data,+0.54,+0.88,,14.9±0.03 km/s,,,,,,,,,,,,,,,,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucilinburhuc,HD 45350,https://en.wikipedia.org/wiki/HD_45350,Auriga,06h 28m 45.71112s,+38° 57′ 46.6628″,7.89,G5 V,,,,,RA: −42.774 mas/yr Dec.: −53.514 mas/yr,21.3056 ± 0.0756 mas,153.1 ± 0.5 ly (46.9 ± 0.2 pc),4.45,1.06±0.01 M☉,1.24±0.02 R☉,1.43±0.02 L☉,4.27±0.02 cgs,"5,683±35 K",0.23 dex,7.1±0.9 Gyr6.31 Gyr,data,,0.740±0.015,,−20.73±0.18 km/s,4.7 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lusitânia,HD 45652,https://en.wikipedia.org/wiki/HD_45652,Monoceros,06h 29m 13.1919s,+10° 56′ 02.0061″,8.10,G8-K0,,,,,RA: 206.328±0.106 mas/yr Dec.: −62.573±0.089 mas/yr,28.6622 ± 0.0551 mas,113.8 ± 0.2 ly (34.89 ± 0.07 pc),5.42,0.83±0.05 M☉0.94±0.02 M☉0.91±0.03 M☉,0.91±0.02 R☉,0.61±0.01 L☉,4.49±0.03 cgs,"5,342±31 K",0.286±0.032 dex,5.4±2.7 Gyr,data,,0.846±0.020,,−5.040±0.0008 km/s,3.5 km/s,,,,,,,,,,,,0.4,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maasym,λ Herculis,https://en.wikipedia.org/wiki/%CE%9B_Herculis,Hercules,17h 30m 44.3098s,+26° 06′ 38.324″,4.41,K3.5III,,,,,RA: +18.782 mas/yr Dec.: +16.184 mas/yr,8.2943 ± 0.0921 mas,393 ± 4 ly (121 ± 1 pc),−0.86,1.18 M☉,40 R☉,400 L☉,1.30 cgs,"4,063 - 4,079 K",0.023 dex,3.98 or 7.23 Gyr,data,+1.68,+1.44,,−26.51 km/s,<1.5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macondo,HD 93083,https://en.wikipedia.org/wiki/HD_93083,Antlia,10h 44m 20.91513s,–33° 34′ 37.2862″,8.30,K2IV-V or K3V,,,,,RA: −92.721 mas/yr Dec.: −152.238 mas/yr,35.0393 ± 0.0484 mas,93.1 ± 0.1 ly (28.54 ± 0.04 pc),6.08,0.806+0.044−0.033 M☉0.837±0.027 M☉,0.844±0.011 R☉,0.41 L☉,4.367±0.652 cgs,"5,030±25 K",0.13±0.165 dex,6 Gyr5.485±4.612 Gyr7.7113.557+4.008−4.622 Gyr,data,,0.945±0.001,,43.65 km/s,2.219±0.531 km/s,,,,,,,,,,,,,,Main sequence,,,,,,,,,data,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mago,HD 32518,https://en.wikipedia.org/wiki/HD_32518,Camelopardalis,05h 09m 36.7201s,+69° 38′ 21.8551″,6.42±0.01,K1 III,,,,,RA: +61.133 mas/yr Dec.: −62.406 mas/yr,8.1601 ± 0.0204 mas,399.7 ± 1.0 ly (122.5 ± 0.3 pc),+1.04,1.2 ± 0.1 M☉,10.8 ± 0.3 R☉,46.4 ± 0.9 L☉,2.48 cgs,"4,731 K",+0.04 dex,6.4 ± 1.5 Gyr,data,+1.03,+1.11,,–7.02±0.35 km/s,1.2±2 km/s,,,,,,,,,,,,,,Horizontal branch,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahasim,θ Aurigae A,https://en.wikipedia.org/wiki/Mahasim,Auriga,05h 59m 43.27012s,+37° 12′ 45.3047″,2.62 - 2.70,A0pSi + F2-5V,,,,,RA: +43.63 mas/yr Dec.: −73.79 mas/yr,19.70 ± 0.16 mas,166 ± 1 ly (50.8 ± 0.4 pc),−1.05,3.24 M☉,4.68 R☉,214 L☉,3.61 cgs,"10,220 K",,288 Myr,data,−0.18,−0.08,α2 CVn,+29.5 km/s,55 km/s,,,,,,,,,,,,−0.06,,,,,,,,,,3.6187 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maia,20 Tauri,https://en.wikipedia.org/wiki/Maia_(star),Taurus,03h 45m 49.6066s,24° 22′ 03.886″,3.87,B8III,,,,,RA: 20.95 mas/yr Dec.: −45.98 mas/yr,8.51 ± 0.28 mas,380 ± 10 ly (118 ± 4 pc),−1.54,3.77 M☉,3.59 R☉,501 L☉,3.89 cgs,"12,300 K",1.10 dex,126 Myr,data,−0.40,−0.07,Suspected,7.40 km/s,33 km/s,/ˈmeɪə/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malmok,WASP-39,https://en.wikipedia.org/wiki/WASP-39,Virgo,14h 29m 18.4151689656s,−03° 26′ 40.204480380″,12.09,,,,,,,,702 ± 2 ly(215.4 ± 0.7 pc),,0.28±0.03 MJ,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Primary transit,,"0.0486±0.0005 AU, (7.27±0.1)×106 km",0,4.05526 d,87.83±0.25,WASP-39,"1.27±0.04 RJ, (91±3)×103 km",,,,WASP,180±40 kg m−3,,
Marfik,λ Ophiuchi A,https://en.wikipedia.org/wiki/Marfik,Ophiuchus,16h 30m 54.82314s,+01° 59′ 02.1209″,3.82 4.18 + 5.22 + 11.0),A0V + A4V,,,,,RA: –30.98 mas/yr Dec.: –73.42 mas/yr,18.84 ± 0.55 mas,173 ± 5 ly (53 ± 2 pc),0.20,0.72 M☉,,76.0+5.1−4.8 L☉,,"8,831+101−102 K",,,data,+0.01,+0.022±0.014,Suspected,−16.0±1.5 km/s,138 km/s,,192 yr,0.91″,0.611,23.0°,53.3°,B 1939.7,157.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markab,α Pegasi,https://en.wikipedia.org/wiki/Markab_(star),Pegasus,23h 04m 45.65345s,+15° 12′ 18.9617″,2.48,A0 IV,,,,,RA: 60.40 ± 0.17 mas/yr Dec.: -41.30 ± 0.16 mas/yr,24.46 ± 0.19 mas,133 ± 1 ly (40.9 ± 0.3 pc),–0.718,3.5 M☉,4.62±0.29 R☉,165 L☉,3.98±0.25 cgs,"10,100±100 K",−0.28 dex,200 Myr,data,–0.06,–0.04,suspected,–2.2 km/s,130 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markeb,κ Velorum,https://en.wikipedia.org/wiki/Markeb_(star),Vela,09h 22m 06.81761s,–55° 00′ 38.4017″,2.48,B2 IV,,,,,RA: –11.40 mas/yr Dec.: +11.52 mas/yr,5.70 ± 0.30 mas,570 ± 30 ly (175 ± 9 pc),−3.74,,,,,,,,data,–0.78,–0.20,,21.9 km/s,,,116.65 days,,0.19,,,,,,,46.5 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Márohu,WASP-6,https://en.wikipedia.org/wiki/WASP-6,Aquarius,23h 12m 37.7380s,−22° 40′ 26.261″,11.9,G8,~11.9,10.769 ±0.026,10.445 ±0.025,10.325 ±0.025,RA: −24.309±1.379 mas/yr Dec.: −37.951±0.871 mas/yr,5.42 ± 0.46 mas,600 ± 50 ly (180 ± 20 pc),,0.88 +0.05-0.08 M☉,0.870 +0.025-0.036 R☉,,,5500 K,,3 ± 1.4 billion years,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data,,,,,,~12.9,,,,,,,,,,,,,,,,,,,,,,
Marsic,κ Herculis A,https://en.wikipedia.org/wiki/Marsic,Hercules,16h 08m 04.95406s,17° 03′ 15.6853″,6.25,G7III + K0IV,,,,,RA: −19.465 mas/yr Dec.: −25.142 mas/yr,8.1307 ± 0.0502 mas,401 ± 2 ly (123.0 ± 0.8 pc),-45,3.17 M☉,11 R☉,55 L☉,2.90 cgs,"4,750 K",+0.131 dex,309 Myr,κ Her,+0.630,+0.931,suspected,+32.21 km/s,1.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matar,η Pegasi Aa,https://en.wikipedia.org/wiki/Matar_(star),Pegasus,22h 43m 00.13743s,+30° 13′ 16.4822″,+2.95,G2 II + F0 V,,,,,RA: +13.16 mas/yr Dec.: -25.67 mas/yr,16.6308 ± 0.7047 mas,196 ± 8 ly (60 ± 3 pc),–1.18,3.51±0.13 M☉,24.51+1.11−1.21 R☉,330.8±35.0 L☉,2.40 cgs,4970±65 K,+0.39 dex,0.27±0.03 Gyr,data,+0.57,+0.86,,+4.3 km/s,1.4 km/s,,813 days,,0.183,,,2452025 HJD,344.7°,,,14.37 km/s,,,,,,,,,,,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maru
","WD 0806−661
",https://en.wikipedia.org/wiki/WD_0806%E2%88%92661,Volans,08h 06m 53.75366s,−66° 18′ 16.7011″,13.71 / -,DQ4.2 + Y1,13.64 / -,13.704 ± 0.023 / ~25.42,13.739 ± 0.025 / ~25.29,13.781 ± 0.043 / -,RA: 335.519(16) mas/yr Dec.: −288.994(17) mas/yr,51.9970 ± 0.0141 mas,62.73 ± 0.02 ly (19.232 ± 0.005 pc),12.30 / -,7–9 MJup,,,4.2–4.3 cgs,325–350 K,,1.5–2.7 Gyr,data,,,,,,,,,,,,,,,,,,<0,,,,,B,,130.2 ± 0.2″,104.2 ± 0.2°,,,data,,,,,,13.74 / -,,,,13.60 / -,,,,,,,,,,,,,,,,,2500 AU,
Mazaalai,HAT-P-21,https://en.wikipedia.org/wiki/HAT-P-21,Ursa Major,11h 25m 05.9858s,+41° 01′ 40.6692″,11.46,G3V,,,,,RA: -1.088 mas/yr Dec.: 13.243 mas/yr,3.5781 ± 0.0410 mas,910 ± 10 ly (279 ± 3 pc),,0.947±0.042 M☉,1.105±0.083 R☉,1.06+0.20−0.16 L☉,4.33±0.06 cgs,5634±67 K,,10.2±2.5 Gyr,data,,,,-51.98 km/s,3.5±0.5 km/s,,,,,,,,,,,,,0.04±0.08,,,,,,,,,15.88±0.02 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mebsuta,ε Geminorum,https://en.wikipedia.org/wiki/Mebsuta,Gemini,06h 43m 55.92626s,+25° 07′ 52.0515″,+3.06,G8 Ib,,,,,RA: –5.57 mas/yr Dec.: −12.36 mas/yr,3.86 ± 0.17 mas,840 ± 40 ly (260 ± 10 pc),–3.90,19.2±0.1 M☉,140±35 R☉,"8,500 L☉",0.88±0.05 cgs,"4,662±36 K",0.15±0.07 dex,8.3±0.1 Myr,data,+1.46,+1.40,,+8.09 ± 0.14 km/s,8.7±1.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megrez,δ Ursae Majoris,https://en.wikipedia.org/wiki/Megrez,Ursa Major,12h 15m 25.56063s,+57° 01′ 57.4156″,+3.312,A3 V,,,,,RA: +104.11 mas/yr Dec.: 7.30 mas/yr,40.51 ± 0.15 mas,80.5 ± 0.3 ly (24.69 ± 0.09 pc),+1.39,1.63 M☉,1.4 R☉,14 L☉,4.49 cgs,"9,480±570 K",,0.3 Gyr,data,+0.067,+0.075,,-20.2 km/s,233 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meissa,λ Orionis A,https://en.wikipedia.org/wiki/Meissa,Orion,05h 35m 08.48130s,+09° 56′ 06.0995″,5.6,B0 V,,,,,RA: +2.216 mas/yr Dec.: −1.986 mas/yr,2.4682 ± 0.1543 mas,"1,320 ± 80 ly (410 ± 30 pc)",−1.94,10.3±0.7 M☉,4.2±0.8 R☉,"6,300 L☉",4.21±0.10 cgs,"25,400±500 K",0.03 dex,1.8 Myr,λ Ori,−0.77,+0.04,,+30.10 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
